repo_id,repo_full_name,repo_html_url,size,stargazers_count,watchers_count,forks_count,score
18498607,daemonmaker/hedgehog,https://github.com/daemonmaker/hedgehog,422,11,11,6,1.0
35113728,evancchow/polebalance,https://github.com/evancchow/polebalance,192,2,2,0,1.0
38205145,AhmedHani/Deep-Q-Learning,https://github.com/AhmedHani/Deep-Q-Learning,132,7,7,2,1.0
29673842,ijosc/Deep_Reinforcement_Learning,https://github.com/ijosc/Deep_Reinforcement_Learning,37629,4,4,2,1.0
40035886,vertix/deep_rl,https://github.com/vertix/deep_rl,132,0,0,0,1.0
40991972,Mog333/DeepRL,https://github.com/Mog333/DeepRL,51,0,0,0,1.0
53145263,Zeta36/Asynchronous-Methods-for-Deep-Reinforcement-Learning,https://github.com/Zeta36/Asynchronous-Methods-for-Deep-Reinforcement-Learning,10637,79,79,32,1.0
49853947,mowayao/deep-reinforcement-learning,https://github.com/mowayao/deep-reinforcement-learning,23,1,1,0,1.0
54648918,scatterbrain333/Fruit,https://github.com/scatterbrain333/Fruit,109,0,0,0,1.0
51878224,siemanko/deeprl,https://github.com/siemanko/deeprl,40,38,38,15,1.0
43320487,strin/curriculum-deep-RL,https://github.com/strin/curriculum-deep-RL,10458,12,12,3,1.0
58293290,hashbangCoder/DeepRL-FlappyBird,https://github.com/hashbangCoder/DeepRL-FlappyBird,5836,8,8,3,1.0
58230057,wingedsheep/deep-q-learning,https://github.com/wingedsheep/deep-q-learning,49,0,0,1,1.0
58571420,wgapl/cs294_solutions,https://github.com/wgapl/cs294_solutions,7,0,0,0,1.0
55734982,MickyDowns/deep-theano-rnn-lstm-car,https://github.com/MickyDowns/deep-theano-rnn-lstm-car,238735,59,59,14,1.0
60704819,etotheipluspi/Deep-Reinforcement-Learning-Architectures,https://github.com/etotheipluspi/Deep-Reinforcement-Learning-Architectures,34,13,13,7,1.0
60761526,dorje/maze,https://github.com/dorje/maze,71,6,6,2,1.0
61078218,domluna/deep_rl,https://github.com/domluna/deep_rl,36,4,4,1,1.0
61963524,yanji84/deep-reinforcement-learning,https://github.com/yanji84/deep-reinforcement-learning,6,0,0,0,1.0
60123271,danfeiX/drl,https://github.com/danfeiX/drl,10,1,1,1,1.0
62415779,viswanathgs/dist-dqn,https://github.com/viswanathgs/dist-dqn,38,182,182,25,1.0
62882185,malreddysid/pong_RL,https://github.com/malreddysid/pong_RL,8,6,6,5,1.0
65127818,datavizweb/async-rl-tensorflow,https://github.com/datavizweb/async-rl-tensorflow,819,3,3,5,1.0
