post_id,accepted_answer_id,label_high,label_low,post_date,receive_answer_duration
56447589,56453315,dl issues,dl frameworks,2019,34728
56650573,56859618,drl issues,reward,2019,1233900
70562317,70568519,drl issues,action,2022,35095
54870581,54873357,drl issues,comprehension,2019,11022
56312962,56318256,drl issues,comprehension,2019,46054
56730118,56765796,drl issues,comprehension,2019,174198
61708729,61747498,dl issues,dl frameworks,2020,176706
65029828,65108767,drl issues,policy's loss,2020,485880
71419306,71488678,drl issues,comprehension,2022,482134
55673412,55673559,other programming problems,,2019,1252
44926583,45047565,drl issues,policy's loss,2017,569552
72629938,72636494,other programming problems,,2022,29531
66930752,66934727,other programming problems,,2021,25408
66930752,66934727,drl issues,design problem,2021,25408
68269032,68357354,drl issues,hyperparameters,2021,589065
61370115,74148819,dl issues,model,2020,78754454
73614535,73614644,other programming problems,,2022,863
73986812,74043115,other programming problems,,2022,439208
74001586,74107001,other programming problems,,2022,797679
64956763,64961297,dl issues,model,2020,29655
64866833,64875762,not real drl,remove,2020,51132
65087009,65113100,dl issues,model,2020,118605
61178239,61178262,other programming problems,,2020,1260
65152599,65157482,dl issues,model,2020,46824
64566325,65263689,drl library/framework,api usage,2020,3913016
59350679,59443119,drl issues,comprehension,2019,536158
60406081,60407336,not real drl,remove,2020,9244
59848545,59869307,drl issues,comprehension,2020,95434
61169488,61169904,drl issues,design problem,2020,2218
64848622,64854430,dl issues,data preprocessing,2020,46816
65198501,65742611,drl issues,design problem,2020,3311065
64799299,65263488,drl library/framework,api usage,2020,2601621
67185851,67236329,other programming problems,,2021,258678
62039376,62041066,drl issues,comprehension,2020,5337
65635342,65650938,drl issues,comprehension,2021,128768
59943167,59978507,drl issues,comprehension,2020,160558
63328885,66834414,drl issues,comprehension,2020,19876244
65636703,65639193,drl issues,comprehension,2021,22811
60447432,60504590,other programming problems,,2020,353002
62001967,62026073,drl issues,comprehension,2020,100091
63408505,65742877,drl library/framework,api usage,2020,13354064
67773479,67775247,drl issues,comprehension,2021,6694
64690471,64755558,drl issues,state/observation,2020,395695
66326130,66391403,dl issues,model,2021,319363
66008062,66030093,drl issues,design problem,2021,101870
70861260,70927326,drl library/framework,best fitted library for a special task,2022,448245
72554263,72625097,dl issues,data preprocessing,2022,514214
