StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6#1_1,Q6#1_2,Q6#1_3,Q6#1_4,Q6#1_5,Q6#1_6,Q6#1_7,Q6#1_8,Q6#2_1,Q6#2_2,Q6#2_3,Q6#2_4,Q6#2_5,Q6#2_6,Q6#2_7,Q6#2_8,Q6#3_1,Q6#3_2,Q6#3_3,Q6#3_4,Q6#3_5,Q6#3_6,Q6#3_7,Q6#3_8,Q7#1_1,Q7#1_2,Q7#1_3,Q7#1_4,Q7#1_5,Q7#1_6,Q7#2_1,Q7#2_2,Q7#2_3,Q7#2_4,Q7#2_5,Q7#2_6,Q7#3_1,Q7#3_2,Q7#3_3,Q7#3_4,Q7#3_5,Q7#3_6,Q8#1_1,Q8#1_2,Q8#1_3,Q8#1_4,Q8#2_1,Q8#2_2,Q8#2_3,Q8#2_4,Q8#3_1,Q8#3_2,Q8#3_3,Q8#3_4,Q9#1_1,Q9#1_2,Q9#1_3,Q9#2_1,Q9#2_2,Q9#2_3,Q9#3_1,Q9#3_2,Q9#3_3,Q10,Q11
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Q_RecaptchaScore,"What is your current job title?

Developer, Researcher, ... (For students, please indicate the degree: PhD student, Master)",What is your overal work/research experience with Deep Reinforcement Learning (DRL)?,"Which programming languages have you been using to develope DRL applications?

C/C++, Java, Python, ...","Which frameworks have you been using to develope DRL applications?

Tensorflow, keras, PyTorch, Keras-rl, Python-rl, ...","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Comprehension

Challenges in basic knowledge of DRL, such as the needed components in the DRL application.</span","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Reward

Challenges in engineering/configuring reward functions","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Action

Challenges in defining action of DRL algorithm","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Environment

Challenges in customizing environments.","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Hyperparameters

Challenges in identifying/tuning hyperparameters in DRL application like exploration issues, learning rate, Epsilon decay, etc.","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Design problem

Challenges in designing a DRL algorithm for a new problem","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - Policy

Challenges in defining and configuring Policy of DRL algorithm.","Have you ever encountered challenges related to DRL basic knowledge? - Q6#1 - State/Observation

Challenges in handling states and/or observations","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Comprehension

Challenges in basic knowledge of DRL, such as the needed components in the DRL application.</span","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Reward

Challenges in engineering/configuring reward functions","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Action

Challenges in defining action of DRL algorithm","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Environment

Challenges in customizing environments.","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Hyperparameters

Challenges in identifying/tuning hyperparameters in DRL application like exploration issues, learning rate, Epsilon decay, etc.","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Design problem

Challenges in designing a DRL algorithm for a new problem","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - Policy

Challenges in defining and configuring Policy of DRL algorithm.","Have you ever encountered challenges related to DRL basic knowledge? - How severe was the challenge/issue - State/Observation

Challenges in handling states and/or observations","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Comprehension

Challenges in basic knowledge of DRL, such as the needed components in the DRL application.</span","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Reward

Challenges in engineering/configuring reward functions","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Action

Challenges in defining action of DRL algorithm","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Environment

Challenges in customizing environments.","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Hyperparameters

Challenges in identifying/tuning hyperparameters in DRL application like exploration issues, learning rate, Epsilon decay, etc.","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Design problem

Challenges in designing a DRL algorithm for a new problem","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - Policy

Challenges in defining and configuring Policy of DRL algorithm.","Have you ever encountered challenges related to DRL basic knowledge? - How much effort was required to handle this challenge/issue - State/Observation

Challenges in handling states and/or observations","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - Installation

Challenges regarding installing/uninstalling relevant libraries/frameworks and issues which can be raised during installation.","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - Depenedency

challenges regarding mismatched versions of installed libraries. For example, when the version of installed openai-gym is not compatible with Python.","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - API usage

Challenges about the usage of arguments, attributes, methods, etc. of the DRL framework's API.","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - Documentation

When people want to use a feature of an DRL library/framework, but there is no documentation about it.","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - Bugs inside framworks

Challenges which are related to the identified bugs inside DRL framework.","Have you ever encountered challenges related to DRL library/framework usage? - Q7#1 - Best fitted library for a special task

When the developer is unsure about the best DRL library/framework for a special DRL algorithm/task .","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - Installation

Challenges regarding installing/uninstalling relevant libraries/frameworks and issues which can be raised during installation.","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - Depenedency

challenges regarding mismatched versions of installed libraries. For example, when the version of installed openai-gym is not compatible with Python.","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - API usage

Challenges about the usage of arguments, attributes, methods, etc. of the DRL framework's API.","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - Documentation

When people want to use a feature of an DRL library/framework, but there is no documentation about it.","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - Bugs inside framworks

Challenges which are related to the identified bugs inside DRL framework.","Have you ever encountered challenges related to DRL library/framework usage? - How severe was the challenge/issue - Best fitted library for a special task

When the developer is unsure about the best DRL library/framework for a special DRL algorithm/task .","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - Installation

Challenges regarding installing/uninstalling relevant libraries/frameworks and issues which can be raised during installation.","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - Depenedency

challenges regarding mismatched versions of installed libraries. For example, when the version of installed openai-gym is not compatible with Python.","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - API usage

Challenges about the usage of arguments, attributes, methods, etc. of the DRL framework's API.","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - Documentation

When people want to use a feature of an DRL library/framework, but there is no documentation about it.","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - Bugs inside framworks

Challenges which are related to the identified bugs inside DRL framework.","Have you ever encountered challenges related to DRL library/framework usage? - How much effort was required to handle this challenge/issue - Best fitted library for a special task

When the developer is unsure about the best DRL library/framework for a special DRL algorithm/task .","Have you ever encountered challenges related to parallel processing & multi-threading? - Q8#1 - GPU usage

Challenges regarding utilizing GPU for running DRL applications","Have you ever encountered challenges related to parallel processing & multi-threading? - Q8#1 - Multi-threading

Challenges about running DRL applications as a multi-threading software","Have you ever encountered challenges related to parallel processing & multi-threading? - Q8#1 - Multi-processing

Challenges in running DRL applications in a multi-processing maner.","Have you ever encountered challenges related to parallel processing & multi-threading? - Q8#1 - Distributed systems

Challenges in running DRL applications as a distributed systems.","Have you ever encountered challenges related to parallel processing & multi-threading? - How severe was the challenge/issue - GPU usage

Challenges regarding utilizing GPU for running DRL applications","Have you ever encountered challenges related to parallel processing & multi-threading? - How severe was the challenge/issue - Multi-threading

Challenges about running DRL applications as a multi-threading software","Have you ever encountered challenges related to parallel processing & multi-threading? - How severe was the challenge/issue - Multi-processing

Challenges in running DRL applications in a multi-processing maner.","Have you ever encountered challenges related to parallel processing & multi-threading? - How severe was the challenge/issue - Distributed systems

Challenges in running DRL applications as a distributed systems.","Have you ever encountered challenges related to parallel processing & multi-threading? - How much effort was required to handle this challenge/issue - GPU usage

Challenges regarding utilizing GPU for running DRL applications","Have you ever encountered challenges related to parallel processing & multi-threading? - How much effort was required to handle this challenge/issue - Multi-threading

Challenges about running DRL applications as a multi-threading software","Have you ever encountered challenges related to parallel processing & multi-threading? - How much effort was required to handle this challenge/issue - Multi-processing

Challenges in running DRL applications in a multi-processing maner.","Have you ever encountered challenges related to parallel processing & multi-threading? - How much effort was required to handle this challenge/issue - Distributed systems

Challenges in running DRL applications as a distributed systems.","Have you ever encountered challenges related to DL knowledge? - Q9#1 - Model

Challenges regarding DL model including model's layer, activation function, load/save model, etc.","Have you ever encountered challenges related to DL knowledge? - Q9#1 - Data preprocessing

Challenges in preparing data to train the DL model with.","Have you ever encountered challenges related to DL knowledge? - Q9#1 - DL framework

Challenges about usage of DL frameworks in DRL applications.","Have you ever encountered challenges related to DL knowledge? - How severe was the challenge/issue - Model

Challenges regarding DL model including model's layer, activation function, load/save model, etc.","Have you ever encountered challenges related to DL knowledge? - How severe was the challenge/issue - Data preprocessing

Challenges in preparing data to train the DL model with.","Have you ever encountered challenges related to DL knowledge? - How severe was the challenge/issue - DL framework

Challenges about usage of DL frameworks in DRL applications.","Have you ever encountered challenges related to DL knowledge? - How much effort was required to handle this challenge/issue - Model

Challenges regarding DL model including model's layer, activation function, load/save model, etc.","Have you ever encountered challenges related to DL knowledge? - How much effort was required to handle this challenge/issue - Data preprocessing

Challenges in preparing data to train the DL model with.","Have you ever encountered challenges related to DL knowledge? - How much effort was required to handle this challenge/issue - DL framework

Challenges about usage of DL frameworks in DRL applications.","Have you ever encountered any challenges/issues related to DRL that have not been mentioned in this survey? If yes, could you please describe them?",Any other comments:
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID12#1_1""}","{""ImportId"":""QID12#1_2""}","{""ImportId"":""QID12#1_3""}","{""ImportId"":""QID12#1_4""}","{""ImportId"":""QID12#1_5""}","{""ImportId"":""QID12#1_6""}","{""ImportId"":""QID12#1_7""}","{""ImportId"":""QID12#1_8""}","{""ImportId"":""QID12#2_1""}","{""ImportId"":""QID12#2_2""}","{""ImportId"":""QID12#2_3""}","{""ImportId"":""QID12#2_4""}","{""ImportId"":""QID12#2_5""}","{""ImportId"":""QID12#2_6""}","{""ImportId"":""QID12#2_7""}","{""ImportId"":""QID12#2_8""}","{""ImportId"":""QID12#3_1""}","{""ImportId"":""QID12#3_2""}","{""ImportId"":""QID12#3_3""}","{""ImportId"":""QID12#3_4""}","{""ImportId"":""QID12#3_5""}","{""ImportId"":""QID12#3_6""}","{""ImportId"":""QID12#3_7""}","{""ImportId"":""QID12#3_8""}","{""ImportId"":""QID14#1_1""}","{""ImportId"":""QID14#1_2""}","{""ImportId"":""QID14#1_3""}","{""ImportId"":""QID14#1_4""}","{""ImportId"":""QID14#1_5""}","{""ImportId"":""QID14#1_6""}","{""ImportId"":""QID14#2_1""}","{""ImportId"":""QID14#2_2""}","{""ImportId"":""QID14#2_3""}","{""ImportId"":""QID14#2_4""}","{""ImportId"":""QID14#2_5""}","{""ImportId"":""QID14#2_6""}","{""ImportId"":""QID14#3_1""}","{""ImportId"":""QID14#3_2""}","{""ImportId"":""QID14#3_3""}","{""ImportId"":""QID14#3_4""}","{""ImportId"":""QID14#3_5""}","{""ImportId"":""QID14#3_6""}","{""ImportId"":""QID15#1_1""}","{""ImportId"":""QID15#1_2""}","{""ImportId"":""QID15#1_3""}","{""ImportId"":""QID15#1_4""}","{""ImportId"":""QID15#2_1""}","{""ImportId"":""QID15#2_2""}","{""ImportId"":""QID15#2_3""}","{""ImportId"":""QID15#2_4""}","{""ImportId"":""QID15#3_1""}","{""ImportId"":""QID15#3_2""}","{""ImportId"":""QID15#3_3""}","{""ImportId"":""QID15#3_4""}","{""ImportId"":""QID16#1_1""}","{""ImportId"":""QID16#1_2""}","{""ImportId"":""QID16#1_3""}","{""ImportId"":""QID16#2_1""}","{""ImportId"":""QID16#2_2""}","{""ImportId"":""QID16#2_3""}","{""ImportId"":""QID16#3_1""}","{""ImportId"":""QID16#3_2""}","{""ImportId"":""QID16#3_3""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}"
4/21/2023 11:30,4/21/2023 11:33,IP Address,100,180,TRUE,4/21/2023 11:33,,,,,,anonymous,EN,1,Developer/Researcher,more than 5 years,C++ / Python,PyTorch/ Tensorflow,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Minor,Major,Critical,Minor,Minor,Critical,Major,Critical,Low,High,High,Medium,Low,High,Medium,High,No,No,No,No,Yes,Yes,Minor,Minor,Minor,Minor,Major,Minor,Low,Low,Low,Low,Medium,Low,No,No,No,No,Minor,Minor,Minor,Minor,Low,Low,Low,Low,No,No,No,Minor,Minor,Minor,Low,Low,Low,,
4/21/2023 11:57,4/21/2023 12:02,IP Address,100,261,TRUE,4/21/2023 12:02,,,,,,anonymous,EN,0.899999976,Assistant professor,more than 5 years,python,"torch, tensorflow, keras",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Minor,Critical,Minor,Major,Minor,Major,Minor,Major,Low,High,Low,High,Low,High,Low,Medium,No,Yes,Yes,Yes,No,No,Minor,Major,Major,Critical,Minor,Minor,Low,Medium,High,High,Low,Low,Yes,No,No,No,Major,Minor,Minor,Minor,Medium,Low,Low,Low,Yes,Yes,No,Minor,Major,Minor,Low,Medium,Low,"How to optimize models to run in GPUs, and when this is best. 

We have found that sometimes CPUs run RL code faster than GPU, and we were uncertain as to why this was happening.",
4/21/2023 11:46,4/21/2023 12:02,IP Address,100,967,TRUE,4/21/2023 12:02,,,,,,anonymous,EN,0.800000012,PhD Student,1-3 years,Python,"PyTorch
Stable-baselines3
RLlib",No,No,No,Yes,Yes,Yes,No,No,Minor,Minor,Minor,Major,Minor,Major,Minor,Minor,Low,Low,Low,Medium,Low,Medium,Low,Low,No,Yes,Yes,No,Yes,No,Minor,Critical,Minor,Minor,Minor,Minor,Low,Medium,Low,Low,Medium,Low,No,No,Yes,Yes,Minor,Minor,Minor,Minor,Low,Low,High,High,No,No,No,Minor,Minor,Minor,Low,Low,Low,,"As mentioned in the dependency section, the most frustrating part of working with RL currently is all the breaking API changes. Especially with gym(nasium) consistently changing their API it effects all the downstream libraries."
4/21/2023 12:54,4/21/2023 12:59,IP Address,100,306,TRUE,4/21/2023 12:59,,,,,,anonymous,EN,0.200000003,PhD Student | Tech Manager & Senior Software Developer,1-3 years,Python,"Tensorflow, Keras and PyTorch",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Critical,Minor,Critical,Major,Major,Critical,Critical,High,High,Medium,High,High,High,High,High,No,Yes,Yes,Yes,No,Yes,Minor,Minor,Minor,Critical,Minor,Major,Low,Medium,Medium,High,Low,High,No,No,No,No,Minor,Minor,Minor,Minor,Low,Low,Low,Low,Yes,Yes,Yes,Major,Major,Major,High,High,High,,I didn't use parallel processing & multi-threading in my DRL research...
4/21/2023 18:38,4/21/2023 18:41,IP Address,100,191,TRUE,4/21/2023 18:41,,,,,,anonymous,EN,0.899999976,Machine Learning Engineer,3-5 years,Python,"Tensorflow, Pytorch",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Critical,Critical,Critical,Critical,Minor,Critical,Critical,Critical,Medium,High,High,High,Low,High,High,High,No,No,Yes,Yes,Yes,Yes,Minor,Minor,Critical,Critical,Critical,Major,Low,Low,High,High,High,High,No,Yes,Yes,Yes,Major,Critical,Critical,Critical,Medium,High,High,High,No,No,No,Minor,Major,Minor,Medium,Low,Low,,
4/22/2023 7:13,4/22/2023 7:23,IP Address,100,603,TRUE,4/22/2023 7:23,,,,,,anonymous,EN,,Research,1-3 years,Python,PyTorch,No,Yes,Yes,Yes,Yes,Yes,No,No,Minor,Major,Major,Major,Major,Major,Major,Major,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,No,No,No,Yes,Yes,Minor,Minor,Minor,Major,Major,Major,Low,Low,Low,Medium,Medium,Medium,No,Yes,Yes,Yes,Minor,Major,Major,Major,Low,Medium,Medium,Medium,No,No,No,Major,Major,Major,Medium,Medium,Medium,,
4/22/2023 7:20,4/22/2023 7:25,IP Address,100,318,TRUE,4/22/2023 7:25,,,,,,anonymous,EN,1, PhD student,3-5 years,Python,PyTorch,Yes,No,No,No,Yes,No,No,No,Major,Minor,Minor,Minor,Major,Minor,Minor,Minor,High,Low,Low,Low,Medium,Low,Low,Low,Yes,Yes,No,Yes,No,Yes,Minor,Minor,Minor,Minor,Minor,Major,Medium,Low,Low,Low,Low,High,Yes,Yes,Yes,Yes,Major,Major,Major,Major,Medium,Medium,Medium,Medium,Yes,Yes,No,Major,Major,Minor,Medium,Low,Low,,
4/22/2023 8:04,4/22/2023 8:09,IP Address,100,304,TRUE,4/22/2023 8:09,,,,,,anonymous,EN,1,ML Research Engineer,3-5 years,Python,"PyTorch, Ray + RLlib, OpenAI baselines, Unity ML-agents",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Minor,Major,Minor,Critical,Minor,Critical,Minor,Minor,Low,Medium,Low,High,Low,Medium,Low,Low,No,Yes,No,Yes,Yes,No,Minor,Minor,Minor,Minor,Minor,Minor,Low,Low,Low,Low,Low,Low,Yes,No,Yes,Yes,Minor,Minor,Major,Minor,Low,Low,Medium,Low,No,No,No,Minor,Minor,Minor,Low,Low,Low,,
